Id,MSSubClass,Neighborhood,HouseStyle,RoofStyle,Condition1,SaleCondition,Fence,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GrLivArea,LotArea,TotalBsmtSF,GarageCars,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,WoodDeckSF,OpenPorchSF,SalePrice
1,120,NAmes,1.5Fin,Gambrel,Norm,Partial,NA,7,7,1949,1953,2531.0,4949.0,150.0,2.0,2.0,0.0,1.0,2.0,5.0,1.0,735.0,157.0,255424.1716506854
2,90,Sawyer,2Story,Gable,PosN,Normal,GdPrv,10,6,1902,1925,2321.0,1811.0,1003.0,1.0,3.0,1.0,2.0,1.0,5.0,3.0,0.0,0.0,354389.42141355044
3,90,Gilbert,2Story,Hip,Artery,Normal,GdWo,6,5,1974,2006,789.0,9580.0,1139.0,,0.0,1.0,4.0,1.0,7.0,0.0,495.0,0.0,179037.5672889742
4,70,Somerst,2Story,Hip,RRAe,Family,NA,6,7,1950,1953,975.0,6513.0,1464.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,314.0,188934.9480870474
5,120,Somerst,1.5Fin,Mansard,Feedr,Partial,MnWw,8,4,1985,2004,2881.0,2026.0,1144.0,3.0,0.0,0.0,5.0,1.0,9.0,2.0,523.0,0.0,374557.7416767774
6,45,NWAmes,2Story,Hip,RRAe,Normal,GdPrv,7,7,1968,1980,2776.0,15881.0,376.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,453.0,198.0,328581.00702691823
7,70,NAmes,SLvl,Mansard,PosN,Normal,MnWw,8,6,1987,1988,2719.0,12595.0,,2.0,1.0,1.0,4.0,2.0,6.0,2.0,0.0,0.0,339728.4878396367
8,80,Gilbert,1.5Fin,Gambrel,Artery,Normal,NA,6,4,1951,1991,1125.0,18334.0,887.0,3.0,0.0,0.0,4.0,1.0,8.0,0.0,185.0,0.0,230792.54584649391
9,70,OldTown,SLvl,Mansard,Feedr,Normal,NA,5,4,1900,1922,2539.0,10386.0,1967.0,0.0,2.0,1.0,5.0,2.0,8.0,1.0,20.0,257.0,275923.17496464273
10,90,NAmes,SFoyer,Flat,Norm,Normal,NA,8,7,1914,1951,743.0,9609.0,1065.0,2.0,0.0,1.0,4.0,1.0,6.0,3.0,101.0,0.0,218606.08438970678
11,30,NridgHt,2Story,Hip,PosN,Normal,GdPrv,4,5,1950,1979,1076.0,17088.0,1269.0,3.0,3.0,1.0,3.0,2.0,6.0,0.0,140.0,0.0,237615.76164185873
12,60,SawyerW,2Story,Gambrel,PosN,Normal,MnWw,5,8,1944,1987,2494.0,3007.0,1471.0,0.0,2.0,0.0,4.0,1.0,6.0,3.0,530.0,0.0,278846.3727130474
13,85,Sawyer,SFoyer,Gable,RRAe,Normal,NA,7,7,1988,2010,2967.0,8190.0,724.0,2.0,3.0,1.0,2.0,2.0,5.0,0.0,0.0,0.0,322025.00042509375
14,40,Sawyer,2Story,Gambrel,Norm,Abnorml,NA,8,7,1945,1975,3121.0,16276.0,1928.0,3.0,0.0,1.0,3.0,1.0,5.0,0.0,0.0,110.0,383212.0592925504
15,50,Sawyer,2Story,Hip,PosN,Normal,NA,9,5,1995,2010,4427.0,6912.0,1349.0,2.0,3.0,0.0,5.0,2.0,8.0,3.0,317.0,0.0,474341.8551664669
16,120,Sawyer,SLvl,Gambrel,Artery,Normal,NA,5,7,1920,1941,3916.0,17875.0,1696.0,0.0,2.0,1.0,1.0,1.0,5.0,1.0,625.0,25.0,378311.0814976003
17,75,NridgHt,1.5Fin,Flat,Feedr,Normal,MnWw,4,9,1942,1983,2019.0,6754.0,1498.0,2.0,3.0,1.0,2.0,1.0,4.0,2.0,339.0,107.0,249489.71344140533
18,50,CollgCr,1Story,Hip,Feedr,Normal,NA,9,4,1983,2004,3631.0,9152.0,1243.0,3.0,2.0,0.0,1.0,1.0,5.0,1.0,217.0,283.0,381330.3484439906
19,50,NWAmes,1.5Fin,Flat,PosN,Family,MnPrv,5,5,1913,1938,882.0,18101.0,61.0,0.0,2.0,1.0,3.0,1.0,5.0,2.0,227.0,0.0,169208.97891158305
20,40,Somerst,1.5Fin,Flat,RRAe,Normal,NA,5,5,1935,1944,3928.0,6002.0,1167.0,2.0,0.0,0.0,4.0,1.0,7.0,1.0,654.0,108.0,340206.27040192875
21,80,NridgHt,SLvl,Gambrel,Artery,Normal,MnWw,5,6,1983,2010,2046.0,19410.0,259.0,,2.0,1.0,1.0,2.0,5.0,1.0,346.0,103.0,242855.14458228217
22,30,Edwards,SFoyer,Flat,RRAe,Alloca,GdPrv,7,7,1965,1997,3540.0,2313.0,1206.0,1.0,1.0,1.0,3.0,2.0,7.0,3.0,294.0,0.0,336687.9677706907
23,40,CollgCr,1Story,Gable,PosN,Normal,NA,9,6,1986,2002,4382.0,6417.0,1402.0,0.0,3.0,0.0,3.0,2.0,5.0,2.0,618.0,111.0,465222.19023038336
24,30,SawyerW,1Story,Gable,RRAe,Normal,MnPrv,8,6,1957,1986,3312.0,12435.0,1090.0,0.0,2.0,0.0,4.0,2.0,6.0,2.0,295.0,0.0,367132.57336108794
25,85,Sawyer,SFoyer,Gambrel,Feedr,Normal,GdPrv,7,5,1995,2010,4180.0,12491.0,616.0,3.0,0.0,0.0,2.0,1.0,6.0,3.0,285.0,0.0,413678.4181607642
26,120,Gilbert,1Story,Mansard,Norm,Normal,GdWo,5,4,1997,2004,540.0,18332.0,118.0,3.0,3.0,1.0,1.0,2.0,5.0,1.0,600.0,154.0,184757.82626284304
27,30,Somerst,2Story,Flat,Norm,Normal,NA,6,5,2008,2010,1182.0,19256.0,1342.0,1.0,0.0,1.0,1.0,1.0,4.0,3.0,261.0,0.0,212995.56768952773
28,120,NWAmes,1Story,Gable,Feedr,Normal,NA,6,8,1913,1957,3004.0,14040.0,,3.0,1.0,0.0,3.0,1.0,5.0,2.0,0.0,0.0,326342.5101738814
29,90,NridgHt,1Story,Gable,RRAe,Normal,NA,4,6,1965,2006,2662.0,13705.0,955.0,3.0,0.0,1.0,3.0,2.0,6.0,3.0,531.0,0.0,287536.5933433071
30,70,Somerst,SLvl,Mansard,Norm,Normal,MnPrv,5,6,1912,1930,981.0,7369.0,1432.0,2.0,3.0,0.0,5.0,1.0,8.0,1.0,160.0,0.0,202168.358432955
31,20,Somerst,1Story,Gambrel,Norm,Normal,NA,6,7,1925,1937,3373.0,16404.0,,2.0,0.0,0.0,3.0,1.0,6.0,2.0,102.0,389.0,352784.3267553069
32,80,OldTown,1Story,Gable,PosN,Normal,GdWo,4,3,1933,1935,734.0,13393.0,1024.0,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,190479.49554018193
33,70,NAmes,SLvl,Hip,Artery,Normal,NA,7,5,1971,2007,4463.0,1945.0,95.0,2.0,0.0,1.0,4.0,2.0,6.0,0.0,237.0,170.0,393984.07474382786
34,85,NridgHt,1Story,Gambrel,Norm,Normal,MnWw,7,5,1947,1963,1125.0,16893.0,1740.0,3.0,2.0,0.0,1.0,2.0,5.0,0.0,272.0,2.0,243118.4395943895
35,45,NWAmes,SLvl,Gambrel,PosN,Partial,NA,3,10,1995,2010,2281.0,8153.0,933.0,3.0,0.0,1.0,2.0,2.0,4.0,2.0,471.0,0.0,259788.96919802285
36,70,NAmes,1Story,Hip,PosN,Abnorml,NA,6,7,1933,1976,3793.0,10302.0,1344.0,0.0,1.0,1.0,4.0,2.0,8.0,1.0,0.0,0.0,367759.15518385667
37,90,NWAmes,1Story,Gambrel,Artery,Normal,NA,8,6,1968,1974,2556.0,10492.0,1821.0,,2.0,0.0,2.0,1.0,5.0,1.0,36.0,0.0,341594.75245042273
38,80,NWAmes,1Story,Mansard,Norm,Normal,MnPrv,8,1,1984,2010,3475.0,16665.0,725.0,2.0,2.0,1.0,3.0,1.0,6.0,2.0,0.0,189.0,380515.00839348184
39,75,OldTown,SFoyer,Mansard,RRAe,Normal,MnWw,8,5,2008,2010,3314.0,6456.0,,3.0,3.0,0.0,3.0,1.0,7.0,1.0,0.0,0.0,405786.28173231025
40,120,Gilbert,SFoyer,Mansard,PosN,Normal,NA,6,6,1927,1951,4295.0,8750.0,39.0,1.0,3.0,0.0,5.0,1.0,7.0,0.0,0.0,0.0,357738.13289219275
41,60,CollgCr,1.5Fin,Hip,PosN,Normal,NA,8,6,1981,2004,2355.0,2223.0,1770.0,3.0,2.0,1.0,2.0,1.0,6.0,2.0,462.0,256.0,363449.46640849096
42,40,Sawyer,2Story,Gable,Artery,Normal,MnWw,5,8,1909,1956,4415.0,7947.0,118.0,1.0,1.0,0.0,5.0,1.0,7.0,2.0,487.0,0.0,349958.97220574395
43,120,Sawyer,1Story,Hip,PosN,Normal,NA,6,7,1960,1992,2567.0,3134.0,1082.0,1.0,1.0,1.0,4.0,2.0,7.0,0.0,688.0,0.0,282934.06190503633
44,30,Edwards,1.5Fin,Gable,PosN,Normal,NA,5,6,1945,1988,4073.0,12285.0,703.0,0.0,3.0,1.0,4.0,1.0,7.0,1.0,668.0,1.0,337056.8536770419
45,70,NAmes,2Story,Flat,Norm,Normal,MnWw,6,7,2006,2010,3430.0,18024.0,71.0,1.0,2.0,0.0,1.0,1.0,4.0,0.0,19.0,360.0,330099.52834620496
